,file,f1_score,precision,recall,model_type,instructed,model_configurations,model_size,quantization,fine_tuning,maxNewTokensFactor,nShotsInference,model,training_params_string,bnb_4bit_compute_dtype,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate
0,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_64_0.01_8_0.0002.csv,0.4300957592339261,0.4196476241324079,0.441077441077441,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_64_0.01_8_0.0002.csv,torch.bfloat16,32.0,64.0,0.01,8.0,0.0002
1,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_32_0.01_8_0.0002.csv,0.3717295276928304,0.4416633023819136,0.3209152244059841,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_32_0.01_8_0.0002.csv,torch.bfloat16,16.0,32.0,0.01,8.0,0.0002
2,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_2_0.0002.csv,0.4127870887647424,0.4382207578253707,0.3901437371663244,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_2_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,2.0,0.0002
3,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_4_0.0002.csv,0.210647703248126,0.2901005823186871,0.1653590826795413,zefiro,instructed,4bit_FT,7,4bit,FT,8,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_4_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,4.0,0.0002
4,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_32_0.01_8_0.0002.csv,0.3646568313021167,0.4067978533094812,0.3304272013949433,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_32_0.01_8_0.0002.csv,torch.bfloat16,64.0,32.0,0.01,8.0,0.0002
5,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_4_0.0002.csv,0.4202572347266881,0.4606979203383856,0.3863434821164647,zefiro,instructed,4bit_FT,7,4bit,FT,8,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_4_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,4.0,0.0002
6,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_64_0.01_8_0.0002.csv,0.3080459770114942,0.4285714285714285,0.2404306220095693,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_64_0.01_8_0.0002.csv,torch.bfloat16,32.0,64.0,0.01,8.0,0.0002
7,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_2_0.0002.csv,0.4266789895255699,0.4526143790849673,0.4035547785547785,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_2_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,2.0,0.0002
8,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_4_0.0002.csv,0.4,0.38291565615737,0.4186800235710076,zefiro,instructed,4bit_FT,7,4bit,FT,8,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_4_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,4.0,0.0002
9,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_2_0.0002.csv,0.4876341577228185,0.4255752392588067,0.5708822726031139,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_2_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,2.0,0.0002
