text,entities,prompt,sentence,input_ids,attention_mask,inference_prompt,ground_truth,model_responses
"nujna srčna kateterizacija je razkrila lokalne disekcije v štirih koronarnih arterijah majhnega kalibra v desnem in levem koronarnem sistemu , vključno z desno posteriorno padajočo , posterolateralno , obtusno marginalno in septalno arterijo .",[],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<nujna srčna kateterizacija je razkrila lokalne disekcije v štirih koronarnih arterijah majhnega kalibra v desnem in levem koronarnem sistemu , vključno z desno posteriorno padajočo , posterolateralno , obtusno marginalno in septalno arterijo .>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

] <|end_of_text|>","|begin_of_text||start_header_id|user|end_header_id|

  nujna srčna kateterizacija je razkrila lokalne disekcije v štirih koronarnih arterijah majhnega kalibra v desnem in levem koronarnem sistemu , vključno z desno posteriorno padajočo , posterolateralno , obtusno marginalno in septalno arterijo . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|","[128000   9110     73   3458  19499  13453   3458  45356   1430    450
  85003   4864  24788  10056  10746  85644    818    834   1247     66
  32376    348  37524 100581   7141  33054    263   1923   7141  47357
   3251   1494  24906  25105  11437  36454    581    969    348  66380
    336    304  23464    336  33054    263   1923    336  21566  34163
   1174    348  10784   8783  13453   2201   1167    951   2201  23163
     72  11368  11262  19256  13453     78   1174  23163    337  19715
   2201   1174   4615    355   2201  32873   2201    304  35429    278
   2201  47357  48000    662]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1]","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<|begin_of_text||start_header_id|user|end_header_id|

  nujna srčna kateterizacija je razkrila lokalne disekcije v štirih koronarnih arterijah majhnega kalibra v desnem in levem koronarnem sistemu , vključno z desno posteriorno padajočo , posterolateralno , obtusno marginalno in septalno arterijo . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

",] <|end_of_text|>,"  |end_of_text||start_header_id|assistant|end_header_id|

  drugič, je postkal na desni strani, ko se je zadržal z desno in levim delcem, da se je prekril na njun zadnj"
"med operacijo , pod splošno narkozo , je bil narejen podaljšan prečni dimeljski rez .",[],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<med operacijo , pod splošno narkozo , je bil narejen podaljšan prečni dimeljski rez .>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

] <|end_of_text|>","|begin_of_text||start_header_id|user|end_header_id|

  med operacijo , pod splošno narkozo , je bil narejen podaljšan prečni dimeljski rez . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|","[128000   2106   2040    582  48000   1174   7661    993    385  11906
   2201    308    847  96614   1174   4864  20934    308    548  24041
   7661    278     73  11906    276    864  13453   7907   5213    301
   2580   6780  49158    662]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<|begin_of_text||start_header_id|user|end_header_id|

  med operacijo , pod splošno narkozo , je bil narejen podaljšan prečni dimeljski rez . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

",] <|end_of_text|>,"## izid

 na sekciji 1, ob 10h00, obstaja normalno in stabilizirano potreba po krvavi, z nato potrditvijo neopajanje z druge strani.  |eot"
po 6 tednih zdravljenja s sistemskimi steroidi in azatioprinom je pacient razvil pljučne embolije in začel z oralno antikoagulacijo z varfarinom .,[{'entity': 'pljučne embolije'}],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<po 6 tednih zdravljenja s sistemskimi steroidi in azatioprinom je pacient razvil pljučne embolije in začel z oralno antikoagulacijo z varfarinom .>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

[{""entity"": ""pljučne embolije""}] <|end_of_text|>","|begin_of_text||start_header_id|user|end_header_id|

  po 6 tednih zdravljenja s sistemskimi steroidi in azatioprinom je pacient razvil pljučne embolije in začel z oralno antikoagulacijo z varfarinom . |eot_id||start_header_id|assistant|end_header_id|

[{""entity"": ""pljučne embolije""}] |end_of_text|","[128000   5481    220     21  42323  87165   1167   3696  68411  24041
   5697    274  69986   4991  25877  77848     72    304  12657   9491
    454  26355    316   4864  23744   1188  24788  46352    628   8783
  13453    818   8126    337  32376    304 103393    301   1167  21308
   2201   3276  24551    351    360    582  48000   1167    767  24470
    258    316    662]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<|begin_of_text||start_header_id|user|end_header_id|

  po 6 tednih zdravljenja s sistemskimi steroidi in azatioprinom je pacient razvil pljučne embolije in začel z oralno antikoagulacijo z varfarinom . |eot_id||start_header_id|assistant|end_header_id|

[{""entity"": ""pljučne embolije""}] |end_of_text|>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[{""entity"": ""pljučne embolije""}] <|end_of_text|>","  [[file:///var/www/html/fall-2019/medical-informatics-m3/project/patient-1.html||patient-1||pljučne embolije||varfarin||azatioprin]] 

  >>>>  sedmi mese"
"ultrazvok je razkril heterogeno maso levega jajčnika v 82 milimetrih v premeru , prazen maternico in brez peritonealne izliva .",[{'entity': 'maso levega jajčnika'} {'entity': 'peritonealne izliva'}],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<ultrazvok je razkril heterogeno maso levega jajčnika v 82 milimetrih v premeru , prazen maternico in brez peritonealne izliva .>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

[{""entity"": ""maso levega jajčnika""}, {""entity"": ""peritonealne izliva""}] <|end_of_text|>","|begin_of_text||start_header_id|user|end_header_id|

  ultrazvok je razkril heterogeno maso levega jajčnika v 82 milimetrih v premeru , prazen maternico in brez peritonealne izliva . |eot_id||start_header_id|assistant|end_header_id|

[{""entity"": ""maso levega jajčnika""}, {""entity"": ""peritonealne izliva""}] |end_of_text|","[128000    360    376   1394     85    564   4864  24788  10056    321
  30548  11968     78   9427     78  56589   6885    503   1662  13453
  90165    348    220   6086   7625  86366    462     71    348    864
   1195     84   1174    550  83921   5634    944   4042    304   5395
     89    824  85166    278    818  22924     75  10126    662]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1]","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<|begin_of_text||start_header_id|user|end_header_id|

  ultrazvok je razkril heterogeno maso levega jajčnika v 82 milimetrih v premeru , prazen maternico in brez peritonealne izliva . |eot_id||start_header_id|assistant|end_header_id|

[{""entity"": ""maso levega jajčnika""}, {""entity"": ""peritonealne izliva""}] |end_of_text|>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[{""entity"": ""maso levega jajčnika""}, {""entity"": ""peritonealne izliva""}] <|end_of_text|>","# raziskave 

## obstajanje cisti

 njen pregled vsebin je vključeval preiskavo na zdravstvenem dokumentu, kjer je bila njena starost na dan operacije 30 let in"
"na podlagi te mikroskopske ugotovitve je bila končna diagnoza parodontalna bolezen , povezana s proliferativno ne-neoplastično lezi .",[{'entity': 'parodontalna bolezen'} {'entity': 'lezi'}],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<na podlagi te mikroskopske ugotovitve je bila končna diagnoza parodontalna bolezen , povezana s proliferativno ne-neoplastično lezi .>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

[{""entity"": ""parodontalna bolezen""}, {""entity"": ""lezi""}] <|end_of_text|>","|begin_of_text||start_header_id|user|end_header_id|

  na podlagi te mikroskopske ugotovitve je bila končna diagnoza parodontalna bolezen , povezana s proliferativno ne-neoplastično lezi . |eot_id||start_header_id|assistant|end_header_id|

[{""entity"": ""parodontalna bolezen""}, {""entity"": ""lezi""}] |end_of_text|","[128000   3458   7661  13667     72   1028  79905   3714     74   3806
    441    577  23196 111480    588   4864    293  10746  16947  13453
   3458  40817   2201   4458   1370  86815    278   3458    712    273
   5797   1174    281   1009     89   3444    274  43036  20053   2201
    841  41078  92335  84195   2201    514   8510    662]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<|begin_of_text||start_header_id|user|end_header_id|

  na podlagi te mikroskopske ugotovitve je bila končna diagnoza parodontalna bolezen , povezana s proliferativno ne-neoplastično lezi . |eot_id||start_header_id|assistant|end_header_id|

[{""entity"": ""parodontalna bolezen""}, {""entity"": ""lezi""}] |end_of_text|>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[{""entity"": ""parodontalna bolezen""}, {""entity"": ""lezi""}] <|end_of_text|>","    vsebina : 

  <<|begin_of_text||start_header_id|user|end_header_id|

  na podlagi te mikroskopske ugotovitve je bila končna diagnoza parodontalna bolezen,"
revmatoidni factor je bil negativen .,[],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<revmatoidni factor je bil negativen .>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

] <|end_of_text|>","|begin_of_text||start_header_id|user|end_header_id|

  revmatoidni factor je bil negativen . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|","[128000   7430   8637    590   7907   8331   4864  20934   4277    266
   2116    662]",[1 1 1 1 1 1 1 1 1 1 1 1],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<|begin_of_text||start_header_id|user|end_header_id|

  revmatoidni factor je bil negativen . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

",] <|end_of_text|>,"  |begin_of_text||start_header_id|user|end_header_id|

  zdravnik je opozoril, da zdi se, da ni nobenega zdravstvenega problema ali zdravnikom ni bilo odprtih."
"danko je bil poln fekalnega materiala , ki je bil normalne barve in konsistence .",[],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<danko je bil poln fekalnega materiala , ki je bil normalne barve in konsistence .>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

] <|end_of_text|>","|begin_of_text||start_header_id|user|end_header_id|

  danko je bil poln fekalnega materiala , ki je bil normalne barve in konsistence . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|","[128000     67  93952   4864  20934   1499     77   1172  36641     77
  11437   3769     64   1174  20548   4864  20934   4725    818   3703
    588    304    597   2439  81624    662]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<|begin_of_text||start_header_id|user|end_header_id|

  danko je bil poln fekalnega materiala , ki je bil normalne barve in konsistence . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

",] <|end_of_text|>,"  je bil priveden v našo institucijo in je bil imenovan kot gospa a. |eot_id||start_header_id|assistant|end_header_id|

  od 12. |end_of_text|>>> 13. 1980"
on je zavrnil kakršne koli prejšnje epizode akutnega pankreatitisa in ni imel zgodovine uporabe alkohola .,[{'entity': 'akutnega pankreatitisa'}],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<on je zavrnil kakršne koli prejšnje epizode akutnega pankreatitisa in ni imel zgodovine uporabe alkohola .>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

[{""entity"": ""akutnega pankreatitisa""}] <|end_of_text|>","|begin_of_text||start_header_id|user|end_header_id|

  on je zavrnil kakršne koli prejšnje epizode akutnega pankreatitisa in ni imel zgodovine uporabe alkohola . |eot_id||start_header_id|assistant|end_header_id|

[{""entity"": ""akutnega pankreatitisa""}] |end_of_text|","[128000    263   4864   1167  70684   8551  96501     81  11906    818
    597  14559    864     73  11906     77   3841   4248    450    536
  17774    332     77  11437    281   1201   1244    275  10994    304
  13080    737    301   1167  40811    869    483    709    269   8393
  58998   2319   8083    662]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<|begin_of_text||start_header_id|user|end_header_id|

  on je zavrnil kakršne koli prejšnje epizode akutnega pankreatitisa in ni imel zgodovine uporabe alkohola . |eot_id||start_header_id|assistant|end_header_id|

[{""entity"": ""akutnega pankreatitisa""}] |end_of_text|>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[{""entity"": ""akutnega pankreatitisa""}] <|end_of_text|>","  uporaba alkohola v zgodovini ni bila prezentirana.

  pankreatična disfunkcija, ki je bila opazovana pri njem, ni bila določena, kar dokazuje"
"po drugi strani je bil infekcijski proces dobro obvladan z infuzijo antibiotikov , kot je ceftazidim v kombinaciji z aminosidom .",[],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<po drugi strani je bil infekcijski proces dobro obvladan z infuzijo antibiotikov , kot je ceftazidim v kombinaciji z aminosidom .>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

] <|end_of_text|>","|begin_of_text||start_header_id|user|end_header_id|

  po drugi strani je bil infekcijski proces dobro obvladan z infuzijo antibiotikov , kot je ceftazidim v kombinaciji z aminosidom . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|","[128000   5481   5623     72    610   5676   4864  20934   4225   1247
   5979   2580   6780  29394    656  15222   1536  14878  54740   1167
   4225   5308  48000  33209   1609    869   1174  76025   4864   3846
    728   1394    307    318    348 117490    582  35973   1167    264
   1083    437    307    316    662]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<|begin_of_text||start_header_id|user|end_header_id|

  po drugi strani je bil infekcijski proces dobro obvladan z infuzijo antibiotikov , kot je ceftazidim v kombinaciji z aminosidom . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

",] <|end_of_text|>," z drugimi simptomatičnimi simptomi in znaki zgodovino ni bilo. |start_header_id|assistant|end_header_id| ] |end_of_text|>>>

 ] |end_of_text|>>>  <<|begin_of_text||"
pacient je bil podvržen eksciziji in kuretaži mase z ekstrakcijo kočnika in stranskega sekutiča .,[],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<pacient je bil podvržen eksciziji in kuretaži mase z ekstrakcijo kočnika in stranskega sekutiča .>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

] <|end_of_text|>","|begin_of_text||start_header_id|user|end_header_id|

  pacient je bil podvržen eksciziji in kuretaži mase z ekstrakcijo kočnika in stranskega sekutiča . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|","[128000  46051   1188   4864  20934   7661  19456 112395  27955   2445
    450  35973    304    597    554   2629 106485    296    521   1167
  27955    496    587     66  48000  15593  13453  90165    304    610
  88311   6885  44934  32973  13453     64    662]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

  <<|begin_of_text||start_header_id|user|end_header_id|

  pacient je bil podvržen eksciziji in kuretaži mase z ekstrakcijo kočnika in stranskega sekutiča . |eot_id||start_header_id|assistant|end_header_id|

] |end_of_text|>>> <|eot_id|><|start_header_id|>assistant<|end_header_id|>

",] <|end_of_text|>, pacient je imel vročino 100 2 ur po operaciji. |eot_id||start_header_id|nurse|end_header_id|  |end_of_text|>>>  |fob| ||start_header_id|assistant|end_header
