WARNING: grid.env NOT FOUND
NO Enviroment
Date: Thu 14 Mar 2024 09:06:41 AM UTC
Directory: /home/ferrazzi/llm/mistral_finetuning
This job will be executed on th following nodes: vgpu9-0

/home/ferrazzi/.conda/envs/gpu_venv_lates/bin/python
Python 3.8.18
I AM LOADING A MODEL IN load_in_4bit= False load_in_8bit= True bnb_4bit_quant_type= nf4 bnb_4bit_compute_dtype= torch.bfloat16 llm_int8_threshold= 6.0
{'loss': 1.671, 'grad_norm': 0.6088892221450806, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.6258, 'grad_norm': 1.4074344635009766, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.7114, 'grad_norm': 0.46596863865852356, 'learning_rate': 0.0002, 'epoch': 0.36}
{'loss': 0.5581, 'grad_norm': 0.41215214133262634, 'learning_rate': 0.0002, 'epoch': 0.48}
{'loss': 0.6341, 'grad_norm': 0.249455526471138, 'learning_rate': 0.0002, 'epoch': 0.6}
{'loss': 0.5055, 'grad_norm': 0.28618016839027405, 'learning_rate': 0.0002, 'epoch': 0.71}
{'loss': 0.6195, 'grad_norm': 0.3702124357223511, 'learning_rate': 0.0002, 'epoch': 0.83}
{'loss': 0.4843, 'grad_norm': 0.29684174060821533, 'learning_rate': 0.0002, 'epoch': 0.95}
{'loss': 0.5158, 'grad_norm': 0.25668323040008545, 'learning_rate': 0.0002, 'epoch': 1.07}
{'loss': 0.4225, 'grad_norm': 0.3226422369480133, 'learning_rate': 0.0002, 'epoch': 1.19}
{'loss': 0.4783, 'grad_norm': 0.49190059304237366, 'learning_rate': 0.0002, 'epoch': 1.31}
{'loss': 0.4641, 'grad_norm': 0.4178083539009094, 'learning_rate': 0.0002, 'epoch': 1.43}
{'loss': 0.4842, 'grad_norm': 0.44866040349006653, 'learning_rate': 0.0002, 'epoch': 1.55}
{'loss': 0.4504, 'grad_norm': 0.4170272648334503, 'learning_rate': 0.0002, 'epoch': 1.67}
{'loss': 0.4596, 'grad_norm': 0.48018062114715576, 'learning_rate': 0.0002, 'epoch': 1.79}
{'loss': 0.4405, 'grad_norm': 0.4874490201473236, 'learning_rate': 0.0002, 'epoch': 1.9}
{'loss': 0.3836, 'grad_norm': 0.3586633503437042, 'learning_rate': 0.0002, 'epoch': 2.02}
{'loss': 0.312, 'grad_norm': 0.5667399168014526, 'learning_rate': 0.0002, 'epoch': 2.14}
{'loss': 0.2662, 'grad_norm': 0.7522156834602356, 'learning_rate': 0.0002, 'epoch': 2.26}
{'loss': 0.2984, 'grad_norm': 0.6054443120956421, 'learning_rate': 0.0002, 'epoch': 2.38}
{'loss': 0.25, 'grad_norm': 0.7597385048866272, 'learning_rate': 0.0002, 'epoch': 2.5}
{'loss': 0.2962, 'grad_norm': 0.6741898655891418, 'learning_rate': 0.0002, 'epoch': 2.62}
{'loss': 0.2429, 'grad_norm': 0.5297369360923767, 'learning_rate': 0.0002, 'epoch': 2.74}
{'loss': 0.3022, 'grad_norm': 0.505500078201294, 'learning_rate': 0.0002, 'epoch': 2.86}
{'loss': 0.2456, 'grad_norm': 0.6515079140663147, 'learning_rate': 0.0002, 'epoch': 2.98}
{'train_runtime': 704.3414, 'train_samples_per_second': 2.849, 'train_steps_per_second': 0.358, 'train_loss': 0.4828789678830949, 'epoch': 3.0}
